date,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality,fengxiang,fengli,bWendu,yWendu,tianqi
2018-05-20,54,37,42,3,28,0.7,104,160.0,良,东风,1-2级,21℃,16℃,阴~小雨
2018-05-21,79,58,38,2,34,0.9,49,306.0,良,东南风,1-2级,18℃,14℃,小雨
2018-05-22,96,42,141,2,23,0.4,90,333.0,良,西风,4-5级,25℃,10℃,多云~晴
2018-05-23,130,52,209,5,38,0.5,138,329.0,轻度污染,西南风,3-4级,29℃,15℃,晴
2018-05-24,135,47,120,7,48,0.7,198,328.0,轻度污染,南风,3-4级,31℃,17℃,晴
2018-05-25,144,55,118,6,37,0.7,208,329.0,轻度污染,西南风,1-2级,31℃,19℃,多云
2018-05-26,0,0,0,4,33,0.7,128,1.0,无,西南风,3-4级,30℃,17℃,小雨~多云
2018-05-27,83,40,116,3,31,0.3,128,264.0,良,西南风,3-4级,32℃,17℃,多云
2018-05-28,0,0,0,2,23,0.2,87,1.0,无,西北风,4-5级,30℃,16℃,晴
2018-05-29,55,13,50,2,31,0.3,105,116.0,良,西北风,1-2级,31℃,16℃,多云
2018-05-30,85,12,34,3,32,0.3,142,256.0,良,西风,1-2级,33℃,18℃,晴
2018-05-31,137,26,65,5,43,0.5,200,308.0,轻度污染,南风,1-2级,35℃,19℃,晴
2018-06-01,114,25,62,3,44,0.4,175,46.0,轻度污染,西南风,3-4级,36℃,21℃,晴
2018-06-02,178,45,97,8,47,0.7,243,69.0,中度污染,南风,3-4级,35℃,21℃,多云
2018-06-03,81,49,112,4,37,0.6,115,28.0,良,北风,1-2级,32℃,19℃,多云
2018-06-04,93,27,82,3,37,0.4,151,46.0,良,西南风,3-4级,35℃,20℃,晴
2018-06-05,147,35,106,6,39,0.5,211,68.0,轻度污染,西南风,4-5级,38℃,25℃,多云
2018-06-06,158,45,130,8,41,0.7,223,59.0,中度污染,东风,1-2级,36℃,25℃,多云
2018-06-07,84,19,51,3,22,0.4,140,39.0,良,西南风,1-2级,33℃,22℃,多云
2018-06-08,80,14,42,2,30,0.4,135,43.0,良,西南风,1-2级,32℃,19℃,多云~雷阵雨
2018-06-09,49,20,37,2,26,0.5,97,24.0,优,北风,1-2级,23℃,17℃,小雨
2018-06-10,95,31,31,2,21,0.6,153,56.0,良,东南风,1-2级,27℃,17℃,多云
2018-06-11,89,58,58,2,28,0.8,146,22.0,良,西南风,3-4级,29℃,19℃,多云
2018-06-12,125,77,75,3,39,0.9,187,47.0,轻度污染,东南风,1-2级,32℃,19℃,多云~雷阵雨
2018-06-13,59,42,41,3,30,0.8,93,23.0,良,东北风,1-2级,28℃,19℃,雷阵雨~多云
2018-06-14,111,23,37,3,33,0.6,172,46.0,轻度污染,南风,1-2级,31℃,20℃,多云
2018-06-15,120,72,63,5,26,1.3,181,64.0,轻度污染,东南风,3-4级,32℃,20℃,多云
2018-06-16,126,73,75,3,26,0.9,188,58.0,轻度污染,南风,1-2级,31℃,21℃,多云~雷阵雨
2018-06-17,87,41,43,2,25,0.7,144,51.0,良,南风,1-2级,31℃,22℃,阴~雷阵雨
2018-06-18,131,72,71,3,31,0.8,194,71.0,轻度污染,西南风,1-2级,30℃,21℃,雷阵雨
2018-06-19,104,47,65,4,25,0.9,164,65.0,轻度污染,东北风,1-2级,32℃,20℃,多云~晴
2018-06-20,86,35,45,3,30,0.6,143,54.0,良,南风,1-2级,35℃,21℃,晴
2018-06-21,142,24,56,6,33,0.7,206,67.0,轻度污染,南风,1-2级,35℃,24℃,多云
2018-06-22,89,55,82,6,46,1.0,146,53.0,良,东南风,1-2级,30℃,21℃,雷阵雨~多云
2018-06-23,190,50,76,4,29,0.7,255,72.0,中度污染,南风,1-2级,35℃,24℃,多云~晴
2018-06-24,164,48,83,4,28,0.7,229,69.0,中度污染,南风,3-4级,36℃,25℃,多云
2018-06-25,111,73,104,5,38,1.0,172,357.0,轻度污染,南风,1-2级,34℃,24℃,雷阵雨
2018-06-26,144,110,95,4,32,1.5,202,359.0,轻度污染,西南风,3-4级,36℃,25℃,晴
2018-06-27,44,24,43,3,32,0.4,87,133.0,优,东北风,3-4级,37℃,25℃,多云
2018-06-28,59,8,22,3,23,0.3,110,199.0,良,北风,1-2级,35℃,24℃,多云~晴
2018-06-29,95,16,50,2,40,0.4,153,261.0,良,南风,1-2级,37℃,25℃,晴
2018-06-30,165,29,67,5,31,0.8,230,360.0,中度污染,东南风,3-4级,37℃,23℃,雷阵雨~多云
2018-07-01,107,44,49,4,24,0.9,167,315.0,轻度污染,东南风,1-2级,35℃,23℃,晴
2018-07-02,96,39,49,3,21,0.7,155,328.0,良,东南风,3-4级,32℃,23℃,多云~雷阵雨
2018-07-03,109,49,46,3,22,0.7,169,332.0,轻度污染,东南风,1-2级,32℃,24℃,雷阵雨~多云
2018-07-04,152,52,69,3,29,0.8,217,360.0,中度污染,西南风,1-2级,35℃,26℃,多云
2018-07-05,156,61,92,3,33,1.0,221,351.0,中度污染,东南风,1-2级,37℃,24℃,多云~雷阵雨
2018-07-06,150,32,50,3,23,0.8,215,354.0,轻度污染,东南风,3-4级,33℃,23℃,多云~雷阵雨
2018-07-07,65,47,45,3,25,0.8,46,282.0,良,东南风,1-2级,31℃,23℃,雷阵雨
2018-07-08,98,48,37,3,21,0.8,157,350.0,良,南风,1-2级,30℃,23℃,雷阵雨
2018-07-09,93,69,62,3,27,0.8,75,350.0,良,东南风,1-2级,30℃,22℃,雷阵雨~多云
2018-07-10,46,30,31,3,20,0.6,92,183.0,优,南风,1-2级,30℃,22℃,多云~雷阵雨
2018-07-11,40,27,25,3,32,0.6,62,116.0,优,东北风,1-2级,25℃,22℃,雷阵雨~大雨
2018-07-12,43,30,24,3,29,0.6,71,164.0,优,南风,1-2级,27℃,22℃,多云
2018-07-13,55,39,42,3,35,0.8,98,233.0,良,东风,1-2级,28℃,23℃,雷阵雨
2018-07-14,99,46,39,3,21,0.7,158,340.0,良,东南风,1-2级,31℃,24℃,雷阵雨~多云
2018-07-15,103,53,51,3,26,0.8,163,343.0,轻度污染,南风,1-2级,32℃,25℃,雷阵雨
2018-07-16,33,23,30,3,24,0.7,62,86.0,优,南风,1-2级,31℃,24℃,中雨~雷阵雨
2018-07-17,32,18,12,3,25,0.6,57,49.0,优,西风,1-2级,27℃,23℃,中雨~雷阵雨
2018-07-18,99,74,59,3,25,1.2,106,339.0,良,南风,1-2级,33℃,25℃,多云
2018-07-19,84,62,50,3,29,0.8,117,298.0,良,南风,1-2级,33℃,27℃,多云~雷阵雨
2018-07-20,95,71,66,3,20,0.9,154,309.0,良,西南风,3-4级,33℃,27℃,多云
2018-07-21,116,61,68,3,19,0.8,177,336.0,轻度污染,南风,3-4级,34℃,26℃,多云~雷阵雨
2018-07-22,55,39,41,3,25,0.7,96,268.0,良,东南风,1-2级,34℃,25℃,多云
2018-07-23,89,46,53,3,23,0.8,146,107.0,良,东风,1-2级,32℃,25℃,小雨~大雨
2018-07-24,28,14,18,3,17,0.5,55,107.0,优,东北风,3-4级,28℃,26℃,暴雨~雷阵雨
2018-07-25,48,9,15,3,16,0.4,96,45.0,优,北风,1-2级,32℃,25℃,多云
2018-07-26,85,10,28,3,23,0.5,141,65.0,良,东北风,1-2级,33℃,25℃,多云~雷阵雨
2018-07-27,83,43,50,3,21,1.0,139,271.0,良,东北风,1-2级,32℃,23℃,多云
2018-07-28,114,49,55,3,19,1.0,175,328.0,轻度污染,东南风,1-2级,33℃,24℃,多云~晴
2018-07-29,130,65,78,3,24,1.1,192,320.0,轻度污染,东南风,1-2级,33℃,25℃,多云
2018-07-30,126,64,74,3,26,1.0,188,329.0,轻度污染,东南风,1-2级,34℃,25℃,晴
2018-07-31,145,56,73,3,28,1.0,209,310.0,轻度污染,南风,1-2级,35℃,26℃,晴
2018-08-01,149,52,77,3,25,1.0,213,285.0,轻度污染,东南风,1-2级,35℃,27℃,多云~雷阵雨
2018-08-02,135,74,90,3,23,1.3,198,322.0,轻度污染,南风,1-2级,36℃,26℃,多云~晴
2018-08-03,120,47,69,2,25,0.9,182,308.0,轻度污染,南风,1-2级,36℃,26℃,晴
2018-08-04,152,56,86,3,27,1.0,217,280.0,中度污染,南风,1-2级,36℃,27℃,晴~多云
2018-08-05,73,30,48,3,19,0.7,127,318.0,良,东风,1-2级,35℃,25℃,雷阵雨~中雨
2018-08-06,46,32,44,4,28,1.2,56,79.0,优,东风,1-2级,30℃,25℃,小雨~雷阵雨
2018-08-07,78,55,54,3,24,1.1,133,321.0,良,东南风,1-2级,29℃,24℃,雷阵雨~中雨
2018-08-08,38,20,21,3,20,0.8,75,304.0,优,东北风,1-2级,29℃,24℃,雷阵雨~阴
2018-08-09,95,26,30,2,26,0.9,154,49.0,良,南风,1-2级,30℃,24℃,多云
2018-08-10,135,32,42,2,26,0.8,198,152.0,轻度污染,南风,1-2级,33℃,25℃,多云~雷阵雨
2018-08-11,76,41,43,3,22,1.0,131,181.0,良,东风,1-2级,30℃,23℃,雷阵雨~中雨
2018-08-12,68,49,39,2,21,1.0,95,256.0,良,东南风,1-2级,30℃,24℃,雷阵雨
2018-08-13,76,41,37,2,20,0.9,131,204.0,良,东北风,1-2级,31℃,24℃,雷阵雨~中雨
2018-08-14,35,23,29,2,19,0.7,70,265.0,优,东北风,1-2级,29℃,24℃,中雨~小雨
2018-08-15,45,13,25,2,24,0.5,89,97.0,优,东北风,3-4级,32℃,24℃,多云
2018-08-16,81,12,27,2,23,0.3,137,130.0,良,东北风,1-2级,30℃,21℃,晴~多云
2018-08-17,137,28,57,2,36,0.6,200,230.0,轻度污染,东南风,1-2级,30℃,22℃,多云~雷阵雨
2018-08-18,45,13,20,3,22,0.4,90,286.0,优,北风,3-4级,28℃,23℃,小雨~中雨
2018-08-19,38,18,31,3,28,0.6,75,97.0,优,东北风,1-2级,26℃,23℃,中雨~小雨
2018-08-20,78,21,32,2,22,0.7,133,84.0,良,北风,1-2级,32℃,23℃,多云~晴
2018-08-21,51,11,27,2,25,0.4,101,177.0,良,北风,1-2级,32℃,22℃,多云
2018-08-22,54,17,47,2,43,0.6,60,183.0,良,西南风,1-2级,28℃,21℃,雷阵雨~多云
2018-08-23,68,15,36,2,31,0.5,121,208.0,良,北风,1-2级,31℃,21℃,多云
2018-08-24,54,11,31,2,29,0.4,104,152.0,良,北风,1-2级,30℃,20℃,晴
2018-08-25,121,27,60,3,29,0.6,183,102.0,轻度污染,南风,1-2级,31℃,22℃,多云~小雨
2018-08-26,125,53,82,3,28,0.8,187,299.0,轻度污染,东南风,1-2级,31℃,22℃,雷阵雨
2018-08-27,124,56,79,5,30,1.0,186,311.0,轻度污染,东南风,1-2级,30℃,22℃,多云~雷阵雨
2018-08-28,92,53,67,3,32,0.9,150,213.0,良,南风,1-2级,29℃,22℃,小雨~多云
2018-08-29,53,8,21,2,22,0.4,103,280.0,良,北风,3-4级,31℃,20℃,晴~多云
2018-08-30,39,14,34,3,30,0.6,77,165.0,优,南风,1-2级,29℃,20℃,多云
2018-08-31,86,13,28,3,26,0.5,143,351.0,良,东南风,1-2级,29℃,20℃,多云~阴
2018-09-01,88,44,50,3,30,0.9,145,353.0,良,南风,1-2级,27℃,19℃,阴~小雨
2018-09-02,67,41,34,2,19,0.8,120,289.0,良,南风,1-2级,27℃,19℃,小雨~多云
2018-09-03,42,29,28,2,19,0.5,78,92.0,优,北风,3-4级,30℃,19℃,晴
2018-09-04,43,7,19,2,24,0.3,86,107.0,优,西南风,3-4级,31℃,18℃,晴
2018-09-05,62,11,33,3,31,0.4,114,99.0,良,西南风,3-4级,31℃,19℃,晴~多云
2018-09-06,35,8,35,2,19,0.3,68,204.0,优,西北风,4-5级,27℃,18℃,多云~晴
2018-09-07,34,5,18,2,17,0.3,68,42.0,优,西北风,3-4级,27℃,16℃,晴
2018-09-08,42,8,23,2,27,0.3,84,32.0,优,北风,1-2级,27℃,15℃,多云~晴
2018-09-09,75,24,56,4,41,0.5,129,172.0,良,西南风,1-2级,28℃,16℃,晴
2018-09-10,75,43,74,6,52,0.9,129,269.0,良,南风,1-2级,28℃,19℃,多云
2018-09-11,80,43,68,5,41,0.8,135,282.0,良,南风,1-2级,26℃,19℃,多云
2018-09-12,103,47,58,4,37,0.8,163,287.0,轻度污染,南风,1-2级,29℃,19℃,多云
2018-09-13,110,80,97,4,49,0.9,170,330.0,轻度污染,南风,1-2级,29℃,20℃,多云~阴
2018-09-14,132,100,109,5,50,1.0,157,333.0,轻度污染,南风,1-2级,28℃,19℃,小雨~多云
2018-09-15,30,14,23,2,20,0.4,59,332.0,优,北风,3-4级,26℃,15℃,多云
2018-09-16,42,8,26,3,30,0.3,83,157.0,优,北风,1-2级,25℃,14℃,多云~晴
2018-09-17,52,12,40,3,41,0.4,72,223.0,良,北风,1-2级,27℃,17℃,多云~阴
